,Unnamed: 0,change,temp,adm0,response,SE,lower_ci,upper_ci
0,0,-0.4644030909120492,27.17003448664797,Brazil,residential,0.20768,-0.8714558909120491,-0.057350290912049184
1,1,-0.443723329961418,27.9213047368581,Brazil,residential,0.20768,-0.850776129961418,-0.03667052996141801
2,2,-0.4230435690107869,28.67257498706823,Brazil,residential,0.20768,-0.8300963690107869,-0.015990769010786887
3,3,-0.4023638080601557,29.423845237278364,Brazil,residential,0.20768,-0.8094166080601557,0.004688991939844289
4,4,-0.3816840471095246,30.17511548748849,Brazil,residential,0.20768,-0.7887368471095246,0.02536875289047541
5,5,-0.3610042861588934,30.926385737698624,Brazil,residential,0.20768,-0.7680570861588933,0.046048513841106586
6,6,-0.3403245252082623,31.677655987908757,Brazil,residential,0.20768,-0.7473773252082623,0.06672827479173771
7,7,-0.3196447642576311,32.42892623811888,Brazil,residential,0.20768,-0.7266975642576311,0.08740803574236888
8,8,-0.298965003307,33.18019648832902,Brazil,residential,0.20768,-0.7060178033069999,0.108087796693
9,9,-0.2782852423563688,33.93146673853914,Brazil,residential,0.20768,-0.6853380423563689,0.12876755764363118
10,10,-0.2576054814057377,34.68273698874928,Brazil,residential,0.20768,-0.6646582814057377,0.1494473185942623
11,11,-0.2369257204551065,35.4340072389594,Brazil,residential,0.20768,-0.6439785204551065,0.1701270795448935
12,12,-0.2162459595044753,36.185277489169536,Brazil,residential,0.20768,-0.6232987595044753,0.19080684049552468
13,13,-0.1955661985538441,36.93654773937966,Brazil,residential,0.20768,-0.6026189985538442,0.2114866014461559
14,14,-0.174886437603213,37.6878179895898,Brazil,residential,0.20768,-0.581939237603213,0.23216636239678698
15,15,-0.1542066766525818,38.43908823979993,Brazil,residential,0.20768,-0.5612594766525818,0.2528461233474182
16,16,-0.1335269157019507,39.190358490010055,Brazil,residential,0.20768,-0.5405797157019507,0.2735258842980493
17,17,-0.1128471547513195,39.94162874022019,Brazil,residential,0.20768,-0.5198999547513194,0.2942056452486805
18,18,-0.0921673938006883,40.69289899043032,Brazil,residential,0.20768,-0.49922019380068827,0.3148854061993117
19,19,-0.0714876328500572,41.44416924064045,Brazil,residential,0.20768,-0.4785404328500572,0.3355651671499428
20,0,1.3775788923513463,22.20951997316805,France,residential,0.60409,0.19356249235134637,2.5615952923513463
21,1,1.6002911804883653,23.03705833872012,France,residential,0.60409,0.4162747804883653,2.784307580488365
22,2,1.823003468625384,23.8645967042722,France,residential,0.60409,0.638987068625384,3.0070198686253837
23,3,2.045715756762404,24.69213506982427,France,residential,0.60409,0.8616993567624038,3.2297321567624038
24,4,2.268428044899422,25.519673435376347,France,residential,0.60409,1.084411644899422,3.452444444899422
