variable,response,France,India,United_States,Turkey,Nigeria,Brazil
Temp diff.,RES_TD,0.139802242,-0.061821359,0.057988781,-0.126411079,0.049494225,-0.021758469
Temp diff.,WR_TD,-0.157776319,-0.040686872,-0.235659972,-0.150817531,0.418831324,0.137004772
Temp diff.,TR_TD,10000,-0.031928805,0.045183768,-0.338734017,10000,0.004867898
Temp diff.,GP_TD,0.062251089,-0.240939949,0.16048302,-0.218060912,1.397158351,-1.13728282
Temp diff.,RR_TD,-0.101249678,-0.382987986,0.030481306,-0.018801781,1.192440488,-1.12097357
Temp diff.,PK_TD,1.321358001,0.398860854,0.187893238,1.171167663,10000,0.171632366
Rain Heat,RES_RH,-0.008927857,0.014358637,0.007928476,0.017785587,-0.005578638,0.017660686
Rain Heat,WR_RH,0.037613223,0.024250158,-0.003079913,0.022205679,-0.07121559,-0.062635835
Rain Heat,TR_RH,10000,-0.054973742,-0.032737281,-0.01496321,10000,-0.032166098
Rain Heat,GP_RH,0.022257195,-0.031273771,-0.033329077,-0.02661162,-0.046717382,-0.043557636
Rain Heat,RR_RH,0.007835032,-0.0270447,-0.025699941,-0.018409852,-0.078742479,-0.079922643
Rain Heat,PK_RH,-0.176189,-0.116059176,-0.103752935,-0.148265373,10000,-0.163600114
Rain Control,RES_RC,-0.019729536,-0.005009114,-0.018724047,0.000204428,-0.045916519,-0.008040783
Rain Control,WR_RC,0.074083614,0.066235101,0.020006257,-0.008454267,-0.084281821,0.016668253
Rain Control,TR_RC,10000,0.006027989,0.026158308,-0.065800924,10000,-0.029028891
Rain Control,GP_RC,0.079733092,0.068143268,0.011778019,-0.064441043,0.044752166,0.019941714
Rain Control,RR_RC,0.036951533,0.056974954,0.02308197,-0.029996697,-0.031550624,0.043330441
Rain Control,PK_RC,0.032958515,-0.020683338,0.28947433,0.05430049,10000,0.203001941
Heatwave Dur.,RES_HD,0.658631876,0.150260162,0.097312257,-0.839922685,0.941064095,0.421597337
Heatwave Dur.,WR_HD,-3.31377427,-2.401172792,-0.522581761,-2.081538248,-2.544353688,0.225546377
Heatwave Dur.,TR_HD,10000,-1.2658052,-0.997804009,-1.14574892,10000,-2.762009727
Heatwave Dur.,GP_HD,2.54971758,-2.210290517,-0.74778478,-0.325458553,-3.032396429,-2.119097177
Heatwave Dur.,RR_HD,2.521661674,-1.173548684,-0.728657832,0.305538677,-3.952919155,-1.205208833
Heatwave Dur.,PK_HD,23.59938693,-0.031291871,-2.462384474,-0.309083386,10000,-0.926661224
Stage frac.,RES_SF,2.789482198,1.511642894,-0.354791942,-0.29230841,0.11492575,0.524614124
Stage frac.,WR_SF,-2.086421556,-2.448759172,0.767546201,-0.52542501,-3.350481484,-6.056905207
Stage frac.,TR_SF,10000,-2.678237098,1.210810945,-3.005516145,10000,-1.041816852
Stage frac.,GP_SF,-4.173246033,-5.934085034,-0.758974457,0.802781479,1.325647923,2.258416611
Stage frac.,RR_SF,-2.713456812,-2.861209643,0.102763412,-1.627571186,1.284410492,0.264471365
Stage frac.,PK_SF,8.675059047,-7.396428466,-6.803300428,-8.766796075,10000,1.719778571
Weekend,RES_WK,-2.403244515,-0.379055353,-0.070599403,-0.67566782,-2.46519922,-0.389397408
Weekend,WR_WK,10.15240848,-1.428072209,0.918292468,2.995847795,3.628601272,-1.09425004
Weekend,TR_WK,10000,0.078979483,0.01697925,1.06592764,10000,-1.00493603
Weekend,GP_WK,4.021091662,-1.30094754,-1.029644515,3.261662601,-0.782510468,3.774118781
Weekend,RR_WK,-0.366141952,-0.522013598,-0.280132202,3.553143342,-1.803332585,2.099351932
Weekend,PK_WK,-28.86064694,2.644311177,-4.520333406,3.110462965,10000,2.660242469
