variable,response,France,India,United_States,Turkey,Nigeria,Brazil
Pop. Dens.,RES_PD,0.050644667,0.053173053,-0.027874262,-0.040204764,10000,-0.023615424
Pop. Dens.,WR_PD,-0.402635168,0.104688826,-0.078589669,-0.693527222,10000,0.241169701
Pop. Dens.,TR_PD,10000,-0.184208371,0.116942537,1.240148101,10000,0.390017078
Pop. Dens.,GC_PD,-0.792898138,0.194121687,0.102107227,1.092652256,10000,0.15735929
Pop. Dens.,RR_PD,-1.052626596,0.333126024,0.075315945,0.389683251,10000,0.090756472
Pop. Dens.,PK_PD,-2.936130051,-0.293529233,-0.977841144,1.785938152,10000,-0.497627929
HDI,RES_HDI,-0.04220109,-0.075325647,0.047787897,0.088728929,-0.196058056,-0.093389588
HDI,WR_HDI,-0.043673723,0.438168145,0.055531896,-0.24786122,2.325024424,0.466992638
HDI,TR_HDI,10000,0.181197821,-0.107949428,0.534455936,10000,0.083501852
HDI,GC_HDI,0.321349214,0.027635953,-0.204601062,-0.001331691,2.667522364,0.128718021
HDI,RR_HDI,0.486892176,0.32319719,-0.078024537,0.211895652,4.95102252,0.409745278
HDI,PK_HDI,1.026409723,0.264762052,-1.163675682,0.723353929,10000,-0.485401798
Over 60,RES_60,0.018047532,0.069090532,0.01344827,-0.046020518,10000,0.047135256
Over 60,WR_60,-0.141514773,-0.369877413,-0.029160835,0.01005395,10000,-0.04293742
Over 60,TR_60,10000,-0.427962115,0.041682167,-0.042943904,10000,0.245323962
Over 60,GC_60,1.003412573,-0.399843536,0.010212088,0.081922967,10000,0.11845909
Over 60,RR_60,0.564939744,-0.21995852,0.002358025,-0.117430624,10000,-0.045344235
Over 60,PK_60,4.113428201,-0.329704075,0.546361046,0.255045371,10000,0.101394339
Coast,RES_CO,-1.288365727,0.013751015,-0.298051161,-0.273823783,1.220363574,-0.505856068
Coast,WR_CO,3.813266733,1.440473966,0.831511225,2.680393189,-4.06534368,2.514167664
Coast,TR_CO,10000,0.50306545,0.349926983,1.031382407,10000,0.545185667
Coast,GC_CO,7.061108788,5.382458488,0.866440586,-0.712204567,-7.712874853,-1.426183751
Coast,RR_CO,8.259013484,3.085087436,1.030701494,0.138983807,-14.61726176,0.029573895
Coast,PK_CO,41.26065935,-0.935991081,6.694349279,-4.918783807,10000,-2.06700695
Elev > 1500,RES_EL,1.767880812,0.666882182,-0.06006839,1.799330324,10000,10000
Elev > 1500,WR_EL,2.374881394,-1.363900782,0.68307186,0.666957118,10000,10000
Elev > 1500,TR_EL,10000,-7.97421012,0.01143783,-4.651420229,10000,10000
Elev > 1500,GC_EL,11.39060162,-5.776926497,-1.487921319,0.83210336,10000,10000
Elev > 1500,RR_EL,9.710134905,-8.136423818,-0.648451147,-0.790971856,10000,10000
Elev > 1500,PK_EL,2.366209054,-5.849855111,-1.81390839,-3.02825125,10000,10000
