,level_0,adm2,adm1,date_heat,retail_rec_heat,grocery_pharm_heat,parks_heat,transit_heat,workplace_heat,residential_heat,location,control_day,thi_heat,datetime_heat,heat_ID,date_control,retail_rec_control,grocery_pharm_control,parks_control,transit_control,workplace_control,residential_control,retail_rec_difference,grocery_pharm_difference,parks_difference,transit_difference,workplaces_difference,residential_difference,day_of_week,weekend,datetime_control,thi_control,thi_diff,datetime,Heat Wave Duration,dur_ranking,stage,month,hw_pct,early_hw,stage_frac,heatwave_dur,mean_elev,coast,HDI_dec,popdens_de,over60_dec,elev_1500m,time_x,rain_standard_control,time_y,rain_standard_heat,index
0,15,Kangra,Himachal Pradesh,2022-06-09,64.0,90.0,160.0,65.0,54.0,21.0,"Kangra, Himachal Pradesh",2022-06-02,28.92749645551869,2022-06-09,6e9676d9-7388-462e-b549-ec2c0f39300d,2022-06-02,61.0,90.0,145.0,54.0,12.0,25.0,3.0,0.0,15.0,11.0,42.0,-4.0,3,0,2022-06-02,26.034226148113778,2.8932703074049115,2022-06-09,3.0,0.28009651754271553,1.0,6,0.506827731092437,0,0.3333333333333333,False,1396.8178828885798,0,8,4,10,0,2022-06-02,32.972972972972975,2022-06-09,58.91891891891892,0
1,16,Kangra,Himachal Pradesh,2022-06-10,73.0,105.0,155.0,75.0,56.0,21.0,"Kangra, Himachal Pradesh",2022-06-03,29.209032627607755,2022-06-10,6e9676d9-7388-462e-b549-ec2c0f39300d,2022-06-03,74.0,106.0,148.0,69.0,64.0,21.0,-1.0,-1.0,7.0,6.0,-8.0,0.0,4,0,2022-06-03,26.62547641787537,2.583556209732386,2022-06-10,3.0,0.28009651754271553,2.0,6,0.506827731092437,0,0.6666666666666666,False,1396.8178828885798,0,8,4,10,0,2022-06-03,22.162162162162165,2022-06-10,49.72972972972973,1
2,17,Kangra,Himachal Pradesh,2022-06-11,84.0,101.0,196.0,82.0,41.0,22.0,"Kangra, Himachal Pradesh",2022-06-04,29.11092733221616,2022-06-11,6e9676d9-7388-462e-b549-ec2c0f39300d,2022-06-04,79.0,108.0,170.0,80.0,95.0,19.0,5.0,-7.0,26.0,2.0,-54.0,3.0,5,1,2022-06-04,27.545017565983247,1.5659097662329131,2022-06-11,3.0,0.28009651754271553,3.0,6,0.506827731092437,0,1.0,False,1396.8178828885798,0,8,4,10,0,2022-06-04,26.486486486486488,2022-06-11,28.10810810810811,2
3,18,Kangra,Himachal Pradesh,2022-06-13,94.0,130.0,209.0,78.0,54.0,20.0,"Kangra, Himachal Pradesh",2022-05-30,29.07192764972228,2022-06-13,2220e162-62f7-4b8b-8545-6d6ea913c49a,2022-05-30,69.0,109.0,182.0,64.0,61.0,21.0,25.0,21.0,27.0,14.0,-7.0,-1.0,0,0,2022-05-30,25.224036948625468,3.847890701096812,2022-06-13,3.0,0.28009651754271553,1.0,5,0.5737920168067226,0,0.3333333333333333,False,1396.8178828885798,0,8,4,10,0,2022-05-30,27.56756756756757,2022-06-13,50.810810810810814,3
4,19,Kangra,Himachal Pradesh,2022-06-14,94.0,112.0,203.0,82.0,18.0,20.0,"Kangra, Himachal Pradesh",2022-05-31,29.10550383634349,2022-06-14,2220e162-62f7-4b8b-8545-6d6ea913c49a,2022-05-31,79.0,118.0,184.0,79.0,60.0,16.0,15.0,-6.0,19.0,3.0,-42.0,4.0,1,0,2022-05-31,25.41267599554337,3.6928278408001205,2022-06-14,3.0,0.28009651754271553,2.0,5,0.5737920168067226,0,0.6666666666666666,False,1396.8178828885798,0,8,4,10,0,2022-05-31,28.64864864864865,2022-06-14,47.02702702702703,4
5,20,Kangra,Himachal Pradesh,2022-06-26,81.0,94.0,176.0,75.0,58.0,22.0,"Kangra, Himachal Pradesh",2022-06-19,28.966916328252783,2022-06-26,f1073585-00f3-4eec-ac86-5c132e62ec4b,2022-06-19,82.0,98.0,182.0,80.0,61.0,21.0,-1.0,-4.0,-6.0,-5.0,-3.0,1.0,6,1,2022-06-19,23.458658509168245,5.5082578190845375,2022-06-26,4.0,0.42630755184557195,1.0,6,0.6257878151260504,0,0.25,True,1396.8178828885798,0,8,4,10,0,2022-06-19,66.48648648648648,2022-06-26,35.67567567567568,5
6,21,Kangra,Himachal Pradesh,2022-06-27,80.0,116.0,189.0,64.0,48.0,22.0,"Kangra, Himachal Pradesh",2022-06-20,29.995237444106348,2022-06-27,f1073585-00f3-4eec-ac86-5c132e62ec4b,2022-06-20,82.0,126.0,206.0,71.0,59.0,20.0,-2.0,-10.0,-17.0,-7.0,-11.0,2.0,0,0,2022-06-20,22.695772703303888,7.29946474080246,2022-06-27,4.0,0.42630755184557195,2.0,6,0.6257878151260504,0,0.5,True,1396.8178828885798,0,8,4,10,0,2022-06-20,52.972972972972975,2022-06-27,44.86486486486487,6
7,22,Kangra,Himachal Pradesh,2022-07-04,67.0,100.0,168.0,57.0,43.0,22.0,"Kangra, Himachal Pradesh",2022-06-20,28.638698666594788,2022-07-04,3c1c0351-931b-4b99-97cd-301f2a4f96be,2022-06-20,82.0,126.0,206.0,71.0,59.0,20.0,-15.0,-26.0,-38.0,-14.0,-16.0,2.0,0,0,2022-06-20,22.695772703303888,5.9429259632909,2022-07-04,2.0,0.09762619016564497,1.0,6,0.7284663865546218,0,0.5,False,1396.8178828885798,0,8,4,10,0,2022-06-20,52.972972972972975,2022-07-04,54.59459459459459,7
8,23,Kangra,Himachal Pradesh,2022-07-18,54.0,80.0,165.0,54.0,37.0,21.0,"Kangra, Himachal Pradesh",2022-06-20,29.56309493505989,2022-07-18,9fad576a-36f2-4db2-a593-49d5e67bfb59,2022-06-20,82.0,126.0,206.0,71.0,59.0,20.0,-28.0,-46.0,-41.0,-17.0,-22.0,1.0,0,0,2022-06-20,22.695772703303888,6.8673222317560025,2022-07-18,2.0,0.09762619016564497,1.0,6,0.9493172268907563,0,0.5,False,1396.8178828885798,0,8,4,10,0,2022-06-20,52.972972972972975,2022-07-18,78.37837837837837,8
9,24,Kangra,Himachal Pradesh,2022-06-28,80.0,105.0,180.0,73.0,44.0,19.0,"Kangra, Himachal Pradesh",2022-06-21,30.225279238797008,2022-06-28,f1073585-00f3-4eec-ac86-5c132e62ec4b,2022-06-21,91.0,118.0,209.0,89.0,56.0,17.0,-11.0,-13.0,-29.0,-16.0,-12.0,2.0,1,0,2022-06-21,20.9328098444976,9.292469394299406,2022-06-28,4.0,0.42630755184557195,3.0,6,0.6257878151260504,0,0.75,True,1396.8178828885798,0,8,4,10,0,2022-06-21,79.45945945945945,2022-06-28,62.70270270270271,9
